Frame,Force_N,Mag_Pixels,Timestamp
1,0.0,287.2102,1779893340.8442
2,0.0,287.2129,1779893340.9766
3,0.0,287.2295,1779893341.0849
4,0.0,287.1721,1779893341.1962
5,0.0,287.0082,1779893341.3041
6,0.0,286.8072,1779893341.4122
7,0.0,286.6538,1779893341.5201
8,0.0,286.8037,1779893341.6282
9,0.0,287.0333,1779893341.7378
10,0.0,287.1905,1779893341.8467
11,0.0,287.27,1779893341.9548
12,0.0,287.2709,1779893342.0633
13,0.0,287.2826,1779893342.1713
14,0.0,287.243,1779893342.2793
15,0.0,287.274,1779893342.3872
16,0.0,287.2247,1779893342.4953
17,0.0,287.2369,1779893342.6035
18,0.0,287.2724,1779893342.711
19,0.0,287.2749,1779893342.8192
20,0.0,287.284,1779893342.9272
21,0.0,287.2583,1779893343.0354
22,0.0,287.2664,1779893343.1441
23,0.0,287.2889,1779893343.253
24,0.0,287.282,1779893343.3609
25,0.0,287.2271,1779893343.4692
26,0.0,287.2776,1779893343.5778
27,0.0,287.2621,1779893343.6862
28,0.0,287.2762,1779893343.7943
29,0.0,287.2872,1779893343.9021
30,0.0,287.2565,1779893344.0104
31,0.0,287.2415,1779893344.1193
32,0.0,287.2604,1779893344.2274
33,0.0,287.2611,1779893344.3355
34,0.0,287.2916,1779893344.4443
35,0.0,287.2732,1779893344.5527
36,0.0,287.2762,1779893344.6611
37,0.0,287.292,1779893344.7699
38,0.0,287.2981,1779893344.8782
39,0.0,287.2822,1779893344.9864
40,0.0,287.2722,1779893345.0942
41,0.0,287.2576,1779893345.2022
42,0.0,287.257,1779893345.31
43,0.0,287.2839,1779893345.4182
44,0.0,287.2548,1779893345.5269
45,0.0,287.2931,1779893345.6351
46,0.0,287.2925,1779893345.7434
47,0.0,287.2855,1779893345.8507
48,0.0,287.2943,1779893345.9597
49,0.0,287.2956,1779893346.068
50,0.0,287.2761,1779893346.1764
51,0.0,287.2719,1779893346.2844
52,0.0,287.2747,1779893346.3929
53,0.0,287.3029,1779893346.5016
54,0.0,287.2867,1779893346.6105
55,0.0,287.2725,1779893346.7187
56,0.0,287.2879,1779893346.826
57,0.0,287.2839,1779893346.9343
58,0.0,287.3064,1779893347.0427
59,0.0,287.2488,1779893347.151
60,0.0,287.2744,1779893347.2594
61,0.0,287.2767,1779893347.3672
62,0.0,287.2639,1779893347.4754
63,0.0,287.2621,1779893347.5837
64,0.0,287.2591,1779893347.6921
65,0.0,287.2633,1779893347.8004
66,0.0,287.303,1779893347.9093
67,0.0,287.2538,1779893348.0177
68,0.0,287.314,1779893348.1266
69,0.0,287.3012,1779893348.2347
70,0.0,287.2829,1779893348.3423
71,-0.001,287.2539,1779893348.4504
72,-0.001,287.2904,1779893348.5589
73,-0.001,287.3122,1779893348.6669
74,-0.001,287.3044,1779893348.7752
75,-0.001,287.283,1779893348.8834
76,-0.001,287.2998,1779893348.9925
77,-0.001,287.2891,1779893349.1024
78,-0.001,287.2668,1779893349.212
79,-0.001,287.3103,1779893349.3203
80,-0.001,287.3095,1779893349.4281
81,-0.001,287.3092,1779893349.5362
82,-0.001,287.3094,1779893349.6455
83,-0.001,287.325,1779893349.7545
84,-0.001,287.282,1779893349.8622
85,-0.001,287.3244,1779893349.9707
86,-0.001,287.3076,1779893350.08
87,-0.001,287.3251,1779893350.1887
88,-0.001,287.3352,1779893350.2971
89,-0.001,287.3322,1779893350.4052
90,-0.001,287.3214,1779893350.5132
91,-0.001,287.3361,1779893350.6216
92,-0.001,287.2932,1779893350.7297
93,-0.001,287.2869,1779893350.8377
94,-0.001,287.3379,1779893350.9461
95,-0.001,287.3327,1779893351.0544
96,-0.001,287.3815,1779893351.1629
97,-0.001,287.346,1779893351.2712
98,-0.001,287.274,1779893351.3795
99,-0.001,287.111,1779893351.4879
