Frame,Force_N,Mag_Pixels,Timestamp
1,0.0,302.4204,1779894087.0025
2,0.0,302.4318,1779894087.144
3,0.0,302.3918,1779894087.2546
4,0.0,302.4606,1779894087.3604
5,0.0,302.4749,1779894087.47
6,0.0,302.412,1779894087.5785
7,0.0,302.213,1779894087.6864
8,0.0,301.8958,1779894087.7954
9,0.0,302.1628,1779894087.9034
10,0.0,302.4383,1779894088.0115
11,0.0,302.3973,1779894088.1202
12,0.0,302.5317,1779894088.2286
13,0.0,302.5489,1779894088.3365
14,0.0,302.4966,1779894088.4445
15,0.0,302.4876,1779894088.5534
16,0.0,302.5704,1779894088.663
17,0.0,302.5736,1779894088.7704
18,0.0,302.4753,1779894088.8778
19,0.0,302.4824,1779894088.9854
20,0.0,302.4685,1779894089.093
21,0.0,302.552,1779894089.2008
22,0.0,302.5189,1779894089.3088
23,0.0,302.525,1779894089.4162
24,0.0,302.633,1779894089.5244
25,0.0,302.5901,1779894089.6326
26,0.0,302.5785,1779894089.7417
27,0.0,302.6076,1779894089.8498
28,0.0,302.6279,1779894089.957
29,0.0,302.5403,1779894090.0633
30,0.0,302.5614,1779894090.1708
31,0.0,302.5369,1779894090.2793
32,0.0,302.52,1779894090.3869
33,0.0,302.6083,1779894090.4952
34,0.0,302.5838,1779894090.6036
35,0.0,302.5855,1779894090.7107
36,0.0,302.5772,1779894090.8188
37,0.0,302.6469,1779894090.9267
38,0.0,302.6628,1779894091.0351
39,0.0,302.5939,1779894091.1435
40,0.0,302.5784,1779894091.2518
41,0.0,302.5552,1779894091.3602
42,0.0,302.5395,1779894091.4685
43,0.0,302.6072,1779894091.577
44,0.0,302.7688,1779894091.686
45,0.0,302.7786,1779894091.7945
46,0.0,302.7808,1779894091.9027
47,0.0,302.819,1779894092.0113
48,0.0,302.7801,1779894092.1171
49,0.0,302.7846,1779894092.2244
50,0.0,302.7548,1779894092.3322
51,0.0,302.6911,1779894092.4409
52,0.0,302.7757,1779894092.5497
53,0.0,302.5253,1779894092.6574
54,0.0,302.1519,1779894092.7654
55,0.0,302.5304,1779894092.8738
56,0.0,302.7809,1779894092.9821
57,0.0,302.8481,1779894093.0894
