1, 0.0, 0.0, 0, 0, 835.042
2, 0.0, 0.0, 0, 0, 835.042
3, 0.0, 0.0, 0, 0, 835.042
4, 0.0, 0.0, 0, 0, 835.042
5, 0.0, 0.0, 0, 0, 835.042
6, 0.0, 0.0, 0, 0, 835.042
7, 0.0, 0.0, 0, 0, 835.042
8, 0.0, 0.0, 0, 0, 835.042
9, 0.0, 0.0, 0, 0, 835.042
10, 0.0, 0.0, 0, 0, 835.042
11, 0.0, 0.0, 0, 0, 835.042
12, 0.0, 0.0, 0, 0, 835.042
13, 0.0, 0.0, 0, 0, 835.042
14, 0.0, 0.0, 0, 0, 835.042
15, 0.0, 0.0, 0, 0, 835.042
16, 0.0, 0.0, 0, 0, 835.042
17, 0.0, 0.0, 0, 0, 835.042
18, 0.0, 0.0, 0, 0, 835.042
19, 0.0, 0.0, 0, 0, 835.042
20, 0.0, 0.0, 0, 0, 835.042
21, 0.0, 0.0, 0, 0, 835.042
22, 0.0, 0.0, 0, 0, 835.042
23, 0.0, 0.0, 0, 0, 835.042
24, 0.0, 0.0, 0, 0, 835.042
25, 0.0, 0.0, 0, 0, 835.042
26, 0.0, 0.0, 0, 0, 835.042
27, 0.0, 0.0, 0, 0, 835.042
28, 0.0, 0.0, 0, 0, 835.042
29, 0.0, 0.0, 0, 0, 835.042
30, 0.0, 0.0, 0, 0, 835.042
31, 0.0, 0.0, 0, 0, 835.042
32, 0.0, 0.0, 0, 0, 835.042
33, 0.0, 0.0, 0, 0, 835.042
34, 0.0, 0.0, 0, 0, 835.042
35, 0.0, 0.0, 0, 0, 835.042
36, 0.0, 0.0, 0, 0, 835.042
37, 0.0, 0.0, 0, 0, 835.042
38, 0.0, 0.0, 0, 0, 835.042
39, 0.0, 0.0, 0, 0, 835.042
40, 0.0, 0.0, 0, 0, 835.042
41, 0.0, 0.0, 0, 0, 835.042
42, 0.0, 0.0, 0, 0, 835.042
43, 0.0, 0.0, 0, 0, 835.042
44, 0.0, 0.0, 0, 0, 835.042
45, 0.0, 0.0, 0, 0, 835.042
46, 0.0, 0.0, 0, 0, 835.042
47, 0.01, 0.0, 0, 0, 835.042
48, 0.01, 2.0, 0, -2, 835.042
49, 0.01, 4.0, -1, -1, 835.042
50, 0.02, 5.0, 0, -1, 835.042
51, 0.029, 6.0, 0, -2, 835.042
52, 0.029, 8.414, 1, -2, 835.042
53, 0.039, 8.414, 1, -2, 835.042
54, 0.049, 9.828, 1, -2, 835.042
55, 0.059, 9.828, 1, -2, 835.042
56, 0.069, 11.828, 1, -4, 835.042
57, 0.069, 11.657, 1, -3, 835.042
58, 0.078, 12.657, 1, -4, 835.042
59, 0.088, 14.301, 3, -4, 835.042
60, 0.098, 14.301, 3, -4, 835.042
61, 0.098, 16.122, 4, -3, 835.042
62, 0.108, 15.301, 3, -3, 835.042
63, 0.108, 15.301, 3, -3, 835.042
64, 0.108, 16.122, 4, -3, 835.042
65, 0.118, 16.122, 4, -3, 835.042
66, 0.118, 17.122, 4, -4, 835.042
67, 0.128, 16.944, 3, -3, 835.042
68, 0.137, 18.944, 2, -4, 835.042
69, 0.137, 18.944, 2, -4, 835.042
70, 0.147, 18.944, 2, -4, 835.042
71, 0.147, 18.944, 2, -4, 835.042
72, 0.157, 18.944, 2, -4, 835.042
73, 0.157, 18.944, 2, -4, 835.042
74, 0.157, 18.944, 2, -4, 835.042
75, 0.167, 18.944, 2, -4, 835.042
76, 0.167, 18.944, 2, -4, 835.042
77, 0.167, 18.944, 2, -4, 835.042
78, 0.177, 18.944, 2, -4, 835.042
79, 0.177, 18.944, 2, -4, 835.042
80, 0.177, 18.944, 2, -4, 835.042
81, 0.177, 18.944, 2, -4, 835.042
82, 0.177, 18.944, 2, -4, 835.042
83, 0.186, 18.944, 2, -4, 835.042
84, 0.186, 18.944, 2, -4, 835.042
85, 0.186, 18.944, 2, -4, 835.042
86, 0.186, 18.944, 2, -4, 835.042
87, 0.186, 18.944, 2, -4, 835.042
88, 0.186, 18.944, 2, -4, 835.042
89, 0.186, 18.944, 2, -4, 835.042
90, 0.186, 18.944, 2, -4, 835.042
91, 0.186, 18.944, 2, -4, 835.042
92, 0.186, 18.944, 2, -4, 835.042
93, 0.186, 18.944, 2, -4, 835.042
94, 0.186, 18.944, 2, -4, 835.042
95, 0.186, 18.944, 2, -4, 835.042
96, 0.186, 18.944, 2, -4, 835.042
97, 0.196, 18.944, 2, -4, 835.042
98, 0.196, 18.944, 2, -4, 835.042
99, 0.196, 18.944, 2, -4, 835.042
100, 0.196, 18.944, 2, -4, 835.042
101, 0.196, 18.944, 2, -4, 835.042
102, 0.196, 18.944, 2, -4, 835.042
103, 0.196, 18.944, 2, -4, 835.042
104, 0.196, 18.944, 2, -4, 835.042
105, 0.196, 18.944, 2, -4, 835.042
106, 0.196, 18.944, 2, -4, 835.042
107, 0.196, 18.944, 2, -4, 835.042
108, 0.196, 18.944, 2, -4, 835.042
109, 0.196, 18.944, 2, -4, 835.042
110, 0.196, 18.944, 2, -4, 835.042
111, 0.196, 18.944, 2, -4, 835.042
112, 0.196, 18.944, 2, -4, 835.042
113, 0.196, 18.944, 2, -4, 835.042
114, 0.206, 20.87, 3, -5, 835.042
115, 0.206, 23.414, 4, -4, 835.042
116, 0.216, 23.414, 4, -4, 835.042
117, 0.226, 26.301, 3, -5, 835.042
118, 0.235, 29.078, 2, -5, 835.042
119, 0.245, 29.24, 2, -6, 835.042
120, 0.265, 32.17, 6, -6, 835.042
121, 0.275, 33.396, 5, -7, 835.042
122, 0.284, 33.396, 5, -7, 835.042
123, 0.294, 33.745, 5, -8, 835.042
124, 0.304, 35.343, 4, -7, 835.042
125, 0.314, 35.343, 4, -7, 835.042
126, 0.324, 35.343, 4, -7, 835.042
127, 0.334, 36.1, 3, -7, 835.042
128, 0.343, 40.285, 6, -5, 835.042
129, 0.353, 40.731, 6, -6, 835.042
130, 0.363, 42.114, 5, -7, 835.042
131, 0.373, 43.09, 4, -7, 835.042
132, 0.392, 43.09, 4, -7, 835.042
133, 0.402, 44.017, 4, -8, 835.042
134, 0.412, 44.017, 4, -8, 835.042
135, 0.422, 45.833, 6, -8, 835.042
136, 0.432, 45.833, 6, -8, 835.042
137, 0.441, 45.833, 6, -8, 835.042
138, 0.441, 45.833, 6, -8, 835.042
139, 0.451, 45.833, 6, -8, 835.042
140, 0.451, 46.71, 7, -8, 835.042
141, 0.461, 45.833, 6, -8, 835.042
142, 0.461, 46.741, 6, -9, 835.042
143, 0.471, 46.71, 7, -8, 835.042
144, 0.471, 46.71, 7, -8, 835.042
145, 0.481, 46.71, 7, -8, 835.042
146, 0.481, 46.71, 7, -8, 835.042
147, 0.481, 46.71, 7, -8, 835.042
148, 0.491, 47.618, 7, -9, 835.042
149, 0.491, 46.71, 7, -8, 835.042
150, 0.491, 46.71, 7, -8, 835.042
151, 0.491, 46.71, 7, -8, 835.042
152, 0.491, 47.618, 7, -9, 835.042
153, 0.5, 47.618, 7, -9, 835.042
154, 0.5, 46.71, 7, -8, 835.042
155, 0.5, 46.71, 7, -8, 835.042
156, 0.5, 46.71, 7, -8, 835.042
157, 0.5, 46.71, 7, -8, 835.042
158, 0.5, 46.71, 7, -8, 835.042
159, 0.5, 47.367, 7, -7, 835.042
160, 0.5, 45.784, 7, -7, 835.042
161, 0.5, 47.367, 7, -7, 835.042
162, 0.5, 47.367, 7, -7, 835.042
